attendance,study_hours,assignments_completed,performance
80.2,0.7,70,Needs Improvement
52.7,1.5,46,Needs Improvement
46.7,1.4,64,Needs Improvement
46.5,2.4,88,Needs Improvement
77.4,8.2,35,Average
53.8,4.5,70,Needs Improvement
97.6,3.7,46,Average
64.7,3.8,68,Average
85.1,5.6,83,Good
61.1,6.5,81,Good
83.8,0.9,64,Average
99.2,8.6,47,Good
69.9,8.4,55,Average
56.5,3.0,44,Needs Improvement
54.4,7.4,55,Average
59.8,9.3,63,Good
91.4,7.9,64,Excellent
89.3,4.3,43,Average
96.9,8.8,75,Excellent
72.5,8.9,93,Good
52.7,7.6,68,Average
68.6,6.0,81,Average
99.9,5.3,46,Good
92.4,2.0,55,Average
68.2,1.1,83,Average
70.7,2.9,36,Needs Improvement
51.3,8.9,69,Good
63.7,3.3,55,Needs Improvement
97.5,8.8,68,Excellent
86.9,5.3,48,Good
61.4,6.6,60,Average
86.9,5.6,35,Average
71.9,1.6,81,Average
90.7,3.4,42,Needs Improvement
76.2,1.2,97,Good
98.8,5.6,51,Average
71.1,5.7,68,Average
78.4,9.7,60,Good
66.9,6.9,82,Good
73.5,1.6,63,Needs Improvement
46.2,5.8,63,Needs Improvement
83.9,1.1,43,Average
92.3,1.2,65,Average
71.7,5.6,95,Good
71.0,4.4,47,Needs Improvement
68.7,4.5,94,Good
48.0,6.7,47,Needs Improvement
85.1,8.1,48,Average
55.5,4.8,89,Average
70.4,8.8,44,Average
92.4,5.7,41,Average
74.7,0.6,46,Needs Improvement
91.7,2.1,97,Good
92.6,9.1,56,Good
99.2,3.0,93,Good
83.3,7.4,97,Good
61.3,9.7,42,Good
48.1,6.0,99,Good
74.2,1.0,100,Average
55.2,6.2,65,Average
96.8,5.9,40,Good
68.1,6.0,75,Good
56.2,7.3,65,Average
52.2,6.6,93,Average
86.4,1.2,93,Good
76.0,1.4,62,Needs Improvement
52.3,3.8,43,Needs Improvement
65.3,2.0,73,Average
99.3,6.7,36,Good
75.5,9.4,48,Good
52.4,1.6,48,Needs Improvement
53.5,3.2,61,Needs Improvement
56.2,6.5,68,Average
58.8,9.1,41,Average
68.3,3.1,35,Needs Improvement
52.2,9.8,55,Good
75.3,4.6,36,Needs Improvement
97.0,7.1,54,Good
90.9,6.0,53,Average
47.3,4.0,40,Needs Improvement
56.6,2.9,48,Needs Improvement
75.8,8.8,54,Good
58.0,2.0,57,Needs Improvement
46.4,7.5,77,Good
67.6,6.9,66,Average
88.3,1.5,39,Average
57.2,8.3,93,Good
90.1,8.8,63,Good
55.6,3.6,43,Needs Improvement
60.4,6.6,86,Good
91.4,3.6,38,Needs Improvement
98.4,2.2,68,Average
77.8,3.8,75,Average
99.1,1.6,59,Average
84.0,0.5,60,Needs Improvement
48.8,6.8,77,Average
81.5,1.7,73,Average
81.7,3.6,72,Average
55.6,6.8,83,Good
94.7,6.3,73,Good
90.9,3.4,61,Average
76.9,6.7,94,Good
82.2,5.4,56,Average
60.6,6.8,77,Average
97.4,2.7,74,Average
56.0,0.7,66,Needs Improvement
78.6,7.8,93,Excellent
79.6,2.3,84,Average
58.4,6.7,35,Average
92.3,8.9,89,Excellent
89.2,7.1,94,Good
58.7,8.6,93,Good
70.6,5.5,75,Good
94.0,6.3,99,Excellent
94.9,4.7,55,Good
71.1,3.0,66,Average
60.3,7.9,97,Good
60.1,1.2,71,Needs Improvement
63.5,9.0,45,Average
57.7,7.1,62,Average
